CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse(?),Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Parent Folder
C27907,27907,SF-2281-Gold,SF-2281-Gold 64GB Toshiba24 eMLC BGA 4xTH58TEG7E2HBA4C (RAISE OFF),Toshiba,24,eMLC,TH58TEG7E2HBA4C,BGA,4,128,5260356,64,64,125045424,0,0,0,0,0,0,False,TBD,TBD,2Q-1C-1D-4L,6,0,64512,0,PP-C02105,PP-R02105,1,External,Cisco,SF-2281_Board
C27908,27908,SF-2281-Gold,SF-2281-Gold 32GB Toshiba24 eMLC BGA 2xTH58TEG7E2HBA4C (RAISE OFF),Toshiba,24,eMLC,TH58TEG7E2HBA4C,BGA,2,128,5260356,32,32,62533296,0,0,0,0,0,0,False,TBD,TBD,1Q-1C-1D-4L,6,0,64512,0,PP-C02106,PP-R02106,1,External,Cisco,SF-2281_Board
C27909,27909,SF-2281-Gold,SF-2281-Gold 48GB Micron25 MLC TSOP 3xCustom_MT29F32G08CBACAWP (RAISE OFF),Micron,25,MLC,MT29F32G08CBACAWP,TSOP,3,128,5260369,48,48,93789360,0,0,0,0,0,0,False,TBD,TBD,2Q-2C-1D-3L,6,0,64512,0,PP-C01374,PP-R01374,1,External,Avant,SF-2281_Board
C27910,27910,SF-2281-Gold,SF-2281-Gold 64GB Micron25 MLC TSOP 4xCustom_MT29F32G08CBACAWP (RAISE OFF),Micron,25,MLC,MT29F32G08CBACAWP,TSOP,4,128,5260369,64,64,125045424,0,0,0,0,0,0,False,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C00822,PP-R00822,1,External,Avant,SF-2281_Board
C27911,27911,SF-2281-Gold-KC,SF-2281-Gold-KC 512GB Toshiba19 MLC Type C TSOP 16xTH58TEG8DDJTA20 (RAISE OFF),Toshiba,19,MLC,TH58TEG8DDJTA20,TSOP,16,256,5260369,512,512,1000215216,0,0,0,0,0,0,False,TBD,TBD,2Q-4C-2D-4L-S,6,0,64512,0,PP-C02108,PP-R02108,1,External,Kingston,SF-2281_Board
C27912,27912,SF-2281-Gold-Avant,SF-2281-Gold 128GB Avant Toshiba19 MLC Type C BGA 8xTH58TEG7DDJBA4C (RAISE OFF),Toshiba,19,MLC,TH58TEG7DDJBA4C,BGA,8,128,5260356,128,128,250069680,0,0,0,0,0,0,False,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02109,PP-R02109,1,External,Avant,SF-2281_Board
C27913,27913,SF-2281-Gold-Avant,SF-2281-Gold 480GB Avant Toshiba19 MLC Type C BGA 16xTH58TEG8DDJBA8C,Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,16,256,5260369,512,480,937703088,0,0,0,0,0,0,True,TBD,TBD,2Q-8C-1D-4L,6,0,64512,0,PP-C02110,PP-R02110,1,External,Avant,SF-2281_Board
C27914,27914,SF-2281-Gold-Avant,SF-2281-Gold 240GB Avant Toshiba19 MLC Type C BGA 8xTH58TEG8DDJBA8C,Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,8,256,5260369,256,240,468862128,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-4L,6,0,64512,0,PP-C02111,PP-R02111,1,External,Avant,SF-2281_Board
C27915,27915,SF-2281-Gold-Avant,SF-2281-Gold 30GB Toshiba32 eMLC BGA 4xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,4,64,5260356,32,30,58626288,0,0,0,0,0,0,True,TBD,TBD,2Q-1C-1D-4L,6,0,64512,0,PP-C02112,PP-R02112,1,External,Avant,SF-2281_Board
C27916,27916,SF-2281-Gold-Avant,SF-2281-Gold 60GB Toshiba32 eMLC BGA 8xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,8,64,5260356,64,60,117231408,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02113,PP-R02113,1,External,Avant,SF-2281_Board
