CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,528 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse,Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Validated,Parent Folder
C25013,25013,SF-2582,SF-2582 100GB Toshiba32 hMLC BGA 4xTH58TAG8D2FBA89,Toshiba,32,hMLC,TH58TAG8D2FBA89,BGA,4,256,5260344,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00022,PP-R00022,1,External,Universal,0,SF-2582_Board
C25014,25014,SF-2582,SF-2582 150GB Toshiba32 hMLC BGA 6xTH58TAG8D2FBA89,Toshiba,32,hMLC,TH58TAG8D2FBA89,BGA,6,256,5260344,192,150,293046768,0,0,0,0,0,0,0,True,MP1p1,MP2,2Q-4C-2D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00023,PP-R00023,1,External,Universal,0,SF-2582_Board
C25015,25015,SF-2582,SF-2582 200GB Toshiba32 hMLC BGA 8xTH58TAG8D2FBA89,Toshiba,32,hMLC,TH58TAG8D2FBA89,BGA,8,256,5260344,256,200,390721968,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-4C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00024,PP-R00024,1,External,Universal,0,SF-2582_Board
C25016,25016,SF-2582,SF-2582 300GB Toshiba32 hMLC BGA 12xTH58TAG8D2FBA89,Toshiba,32,hMLC,TH58TAG8D2FBA89,BGA,12,256,5260344,384,300,586072368,0,0,0,0,0,0,0,True,MP1p1,MP2,4Q-4C-2D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00025,PP-R00025,1,External,Universal,0,SF-2582_Board
C25017,25017,SF-2582,SF-2582 400GB Toshiba32 hMLC BGA 16xTH58TAG8D2FBA89,Toshiba,32,hMLC,TH58TAG8D2FBA89,BGA,16,256,5260344,512,400,781422768,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-4C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00026,PP-R00026,1,External,Universal,0,SF-2582_Board
C25018,25018,SF-2582,SF-2582 25GB Toshiba32 eMLC BGA 4xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,4,64,5260356,32,25,48858768,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-1C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00027,PP-R00027,1,External,Universal,0,SF-2582_Board
C25019,25019,SF-2582,SF-2582 37.5GB Toshiba32 eMLC BGA 6xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,6,64,5260356,48,37,73277568,0,0,0,0,0,0,0,True,MP1p1,MP2,2Q-2C-1D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00028,PP-R00028,1,External,Universal,0,SF-2582_Board
C25020,25020,SF-2582,SF-2582 50GB Toshiba32 eMLC BGA 8xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,8,64,5260356,64,50,97696368,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00029,PP-R00029,1,External,Universal,0,SF-2582_Board
C25021,25021,SF-2582,SF-2582 75GB Toshiba32 eMLC BGA 12xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,12,64,5260356,96,75,146533968,0,0,0,0,0,0,0,True,MP1p1,MP2,4Q-2C-1D-3L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00030,PP-R00030,1,External,Universal,0,SF-2582_Board
C25022,25022,SF-2582,SF-2582 100GB Toshiba32 eMLC BGA 16xTH58TAG6E2FBA49,Toshiba,32,eMLC,TH58TAG6E2FBA49,BGA,16,64,5260356,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-2C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00031,PP-R00031,1,External,Universal,0,SF-2582_Board
